id;start_date;end_date;language
1;2021-03-23T06:41:40;2021-03-23T04:31:55;SPANISH
2;2021-03-22T11:31:51;2021-03-23T06:36:16;SPANISH
3;2021-03-23T02:27:10;2021-03-22T13:01:19;FRENCH
4;2021-03-22T17:44:41;2021-03-23T05:16:07;FRENCH
5;2021-03-23T03:14:59;2021-03-23T08:01:58;FRENCH
6;2021-03-22T21:07:20;2021-03-23T09:15:34;FRENCH
7;2021-03-22T22:52:40;2021-03-22T16:43:31;FRENCH
8;2021-03-22T21:48:53;2021-03-23T08:05:01;SPANISH
9;2021-03-22T20:30:02;2021-03-22T17:11:25;SPANISH
10;2021-03-23T04:42:06;2021-03-22T15:16:36;SPANISH
